step,trans_type,amount,nameOrig,oldbalanceOrg,nameDest,oldbalanceDest,accountType,isFraud,isFlaggedFraud
94,CASH_IN,199828.02,C1018500658,19320891.64,C1742712270,2844925.04,DOMESTIC,0,0
94,CASH_IN,50363.99,C819568129,22277350.69,C1246142195,5000297.76,DOMESTIC,0,0
94,CASH_IN,165793.06,C976395492,23186794.87,C1239059271,2768967.2,DOMESTIC,0,0
94,CASH_IN,234803.08,C780700825,25711124.9,C1471633238,4192283.31,DOMESTIC,0,0
94,CASH_IN,111467.35,C1311562527,26893690.15,C267136656,5989439.88,DOMESTIC,0,0
94,CASH_IN,483876.66,C2061461101,28668998.8,C2034264988,2658741.1,DOMESTIC,0,0
94,CASH_IN,109183.84,C2084277584,32108781.16,C365212068,11187853.93,DOMESTIC,0,0
94,CASH_IN,16586.72,C1209836637,18610483.98,C1544755390,17028395.72,DOMESTIC,0,0
94,CASH_IN,529924.46,C394425257,19136077.3,C1777225585,3255355.84,DOMESTIC,0,0
94,CASH_IN,34182.53,C569396786,19972107.01,C225852166,13756169.8,DOMESTIC,0,0
94,CASH_IN,72747.21,C762528904,23077968.16,C956986674,10468350.0,DOMESTIC,0,0
94,CASH_IN,478199.93,C594283232,23782461.85,C1050406642,7113613.27,DOMESTIC,0,0
94,CASH_IN,100442.18,C576775765,24741347.4,C1583408697,2115309.85,DOMESTIC,0,0
94,CASH_IN,435307.0,C2137433683,25650284.81,C1328442807,7642392.78,DOMESTIC,0,0
129,CASH_IN,56522.42,C1861162743,19090368.22,C885951223,11079450.7,DOMESTIC,0,0
129,CASH_IN,54381.17,C1613186248,20319837.97,C349092631,1648936.92,DOMESTIC,0,0
129,CASH_IN,122579.31,C1400453972,22972215.95,C1424082571,8479436.91,DOMESTIC,0,0
129,CASH_IN,241943.86,C1082842263,24050875.09,C392292416,9904958.38,DOMESTIC,0,0
129,CASH_IN,191660.71,C2130485650,24640937.03,C509664487,7239133.86,DOMESTIC,0,0
129,CASH_IN,113456.27,C1488728337,24832597.74,C1172814480,5599177.14,DOMESTIC,0,0
129,CASH_IN,96711.03,C841862142,18839400.39,C1415380443,989359.62,DOMESTIC,0,0
129,CASH_IN,211291.74,C873137927,19244523.25,C1264851251,5514605.34,DOMESTIC,0,0
129,CASH_IN,159820.63,C1763560861,18999213.45,C1129670968,9127256.51,DOMESTIC,0,0
129,CASH_IN,107231.97,C1137549164,20605064.72,C404923931,1894434.65,DOMESTIC,0,0
130,CASH_IN,141058.29,C1291268765,18304720.2,C934651164,4230231.34,DOMESTIC,0,0
130,CASH_IN,231832.18,C1330096946,20028207.12,C556281798,9474082.97,DOMESTIC,0,0
130,CASH_IN,96731.79,C902284038,20598489.37,C1830844781,4832671.85,DOMESTIC,0,0
130,CASH_IN,19245.47,C901360934,21428745.97,C1836734674,1607881.82,DOMESTIC,0,0
130,CASH_IN,175244.37,C1044010051,18698303.53,C1175199409,7053598.65,DOMESTIC,0,0
130,CASH_IN,240824.62,C190274982,20029819.62,C1662761228,9319629.46,DOMESTIC,0,0
130,CASH_IN,96184.19,C1127970193,20412210.98,C1841866242,8965928.81,DOMESTIC,0,0
130,CASH_IN,6474.59,C531891529,20508395.17,C2113748097,6151067.15,DOMESTIC,0,0
130,CASH_IN,198380.17,C471283629,21408156.75,C1580543546,9935565.02,DOMESTIC,0,0
130,CASH_IN,122708.02,C761183956,21686271.2,C1290601415,9400186.35,DOMESTIC,0,0
130,CASH_IN,75956.89,C950005919,18945730.44,C1923106377,4671558.51,DOMESTIC,0,0
130,CASH_IN,56518.59,C909505957,18814654.43,C135718722,3416059.14,DOMESTIC,0,0
130,CASH_IN,25474.77,C1530680535,19948132.11,C732929236,6418376.82,DOMESTIC,0,0
130,CASH_IN,17671.24,C501735241,23677598.29,C2021579766,14592314.02,DOMESTIC,0,0
130,CASH_IN,183749.14,C140758997,25589151.31,C2127107706,8405338.35,DOMESTIC,0,0
130,CASH_IN,140838.15,C1474639496,29881245.52,C79281017,5810613.05,DOMESTIC,0,0
130,CASH_IN,12367.31,C1823957618,31207031.6,C1811787479,11184508.87,DOMESTIC,0,0
131,CASH_IN,84878.25,C745326375,19709031.34,C753031291,759576.44,DOMESTIC,0,0
131,CASH_IN,77865.74,C1929654153,22242487.14,C1723100387,3774803.73,DOMESTIC,0,0
131,CASH_IN,68624.36,C601299127,22480120.16,C2090186380,4980765.34,DOMESTIC,0,0
131,CASH_IN,137351.75,C239688390,23684561.07,C998136421,4645434.96,DOMESTIC,0,0
131,CASH_IN,214222.82,C1111046900,25691007.31,C2132084369,4431328.31,DOMESTIC,0,0
131,CASH_IN,118262.23,C1854837550,29642440.67,C991505714,20075078.33,DOMESTIC,0,0
131,CASH_IN,6981.81,C1172256304,31083040.64,C1172716014,5642267.03,DOMESTIC,0,0
131,CASH_IN,128295.46,C1097377447,19139460.47,C216070092,1388710.85,DOMESTIC,0,0
131,CASH_IN,690.94,C1510378476,21227133.27,C858196969,6132058.63,DOMESTIC,0,0
131,CASH_IN,147952.35,C527923546,27612912.16,C2024085573,3386483.25,DOMESTIC,0,0
131,CASH_IN,141721.52,C652287003,19612836.27,C603580770,7530197.97,DOMESTIC,0,0
131,CASH_IN,268845.76,C1144720694,20512554.8,C1246792604,11974250.51,DOMESTIC,0,0
131,CASH_IN,588992.51,C1748654339,22730738.15,C2011996123,16271342.65,DOMESTIC,0,0
131,CASH_IN,471297.55,C1464474776,28512049.02,C836878317,3322749.67,DOMESTIC,0,0
131,CASH_IN,176107.11,C1172245722,29065079.94,C945678918,2112292.33,DOMESTIC,0,0
131,CASH_IN,85577.04,C385866680,31123563.17,C362585233,10395955.34,DOMESTIC,0,0
131,CASH_IN,37628.32,C265437482,31524423.69,C1780333728,5212402.38,DOMESTIC,0,0
131,CASH_IN,366925.53,C937580656,23176970.04,C307841806,5907039.56,DOMESTIC,0,0
131,CASH_IN,35663.75,C303529065,22722359.65,C1667248082,8231883.59,DOMESTIC,0,0
131,CASH_IN,27582.76,C139071578,22817794.32,C1044117371,9615023.47,DOMESTIC,0,0
131,CASH_IN,328896.8,C1705798555,18697767.4,C1777285191,2158685.67,DOMESTIC,0,0
131,CASH_IN,132725.38,C1779448632,21548517.52,C1656764903,7684305.72,DOMESTIC,0,0
131,CASH_IN,28556.34,C18656169,22718808.22,C200488402,1412462.27,DOMESTIC,0,0
131,CASH_IN,264489.91,C969145535,22223519.28,C2127109231,2862628.72,DOMESTIC,0,0
132,CASH_IN,65500.57,C1764642553,21055910.75,C811587677,10681723.28,DOMESTIC,0,0
132,CASH_IN,145157.26,C1987770973,22572112.2,C579650071,2174329.61,DOMESTIC,0,0
132,CASH_IN,18232.59,C1564016077,23610496.82,C815121481,7006960.71,DOMESTIC,0,0
132,CASH_IN,59493.27,C1083151405,24448409.64,C1117816135,4341561.87,DOMESTIC,0,0
132,CASH_IN,180197.29,C1658719097,27343874.59,C774678107,5927431.47,DOMESTIC,0,0
132,CASH_IN,158533.85,C786503925,28150399.24,C1052117080,5689128.9,DOMESTIC,0,0
132,CASH_IN,348070.04,C1797601860,19237323.29,C410289287,2080144.92,DOMESTIC,0,0
132,CASH_IN,85286.88,C1195647109,20784078.67,C1698369621,1979247.74,DOMESTIC,0,0
132,CASH_IN,13319.1,C618160277,21897263.3,C556281798,9487574.86,DOMESTIC,0,0
132,CASH_IN,28753.14,C107231493,21764594.85,C83331807,4176154.27,DOMESTIC,0,0
132,CASH_IN,35099.26,C906282383,22513589.61,C1822045793,607946.83,DOMESTIC,0,0
132,CASH_IN,400935.08,C1293065984,23530392.97,C1809373351,4517392.18,DOMESTIC,0,0
132,CASH_IN,23935.83,C1670247880,26213632.48,C1640624477,15508839.95,DOMESTIC,0,0
132,CASH_IN,177336.2,C1390336186,18715925.23,C234430897,5209946.43,DOMESTIC,0,0
132,CASH_IN,30787.98,C1764525299,18893261.44,C639060705,5241531.61,DOMESTIC,0,0
132,CASH_IN,422894.25,C1561560612,18924049.42,C1825992554,2509414.71,DOMESTIC,0,0
132,CASH_IN,97451.1,C429774859,19346943.67,C1522554429,5244824.06,DOMESTIC,0,0
132,CASH_IN,79924.83,C2015155958,21578570.01,C1712003741,2864987.52,DOMESTIC,0,0
132,CASH_IN,16218.93,C1367332598,18305876.8,C2001016341,2537712.43,DOMESTIC,0,0
132,CASH_IN,230584.43,C1569938620,21660849.36,C1483338079,5440703.66,DOMESTIC,0,0
132,CASH_IN,118357.05,C121633863,24014019.39,C22043098,6354716.24,DOMESTIC,0,0
133,CASH_IN,72976.78,C1721864368,18515387.53,C1687224917,4141302.04,DOMESTIC,0,0
133,CASH_IN,193943.29,C1190674563,19397380.38,C680062071,4590269.05,DOMESTIC,0,0
133,CASH_IN,174421.69,C1442098887,22418051.87,C305793941,4581410.01,DOMESTIC,0,0
133,CASH_IN,118714.2,C2061400658,24427589.43,C1767735686,10494944.79,DOMESTIC,0,0
133,CASH_IN,158589.22,C1453883576,24546303.63,C1825243291,4615561.92,DOMESTIC,0,0
133,CASH_IN,158271.7,C903881128,27775388.3,C232839882,1590683.0,DOMESTIC,0,0
133,CASH_IN,173455.86,C929759673,18635384.56,C1793216114,1564950.12,DOMESTIC,0,0
133,CASH_IN,211332.06,C826587812,19573468.99,C363330984,1460657.77,DOMESTIC,0,0
133,CASH_IN,59131.24,C1858353153,19354590.27,C504173687,8335078.23,DOMESTIC,0,0
133,CASH_IN,246525.28,C722169230,21109797.19,C1130053335,2842815.94,DOMESTIC,0,0
133,CASH_IN,180793.18,C1967613682,23600662.23,C623476050,11390147.4,DOMESTIC,0,0
133,CASH_IN,359966.38,C1116652518,25684693.31,C358804045,5814095.0,DOMESTIC,0,0
133,CASH_IN,45151.07,C342561771,28050256.8,C1055680194,2524942.68,DOMESTIC,0,0
133,CASH_IN,40574.21,C1007279494,29651764.88,C1918488764,4137335.72,DOMESTIC,0,0
133,CASH_IN,1226164.25,C1703003196,29886019.58,C729866516,14449632.1,DOMESTIC,0,0
133,CASH_IN,129893.48,C509725749,20508907.36,C830831744,6536736.05,DOMESTIC,0,0
133,CASH_IN,43653.75,C2098801932,22594194.12,C1970911987,2020625.21,DOMESTIC,0,0
134,CASH_IN,307500.06,C685833972,19925280.69,C605992258,5582068.71,DOMESTIC,0,0
134,CASH_IN,183575.78,C1411623312,21338447.47,C110721357,6727272.61,DOMESTIC,0,0
134,CASH_IN,93936.21,C830325947,21534293.91,C349360156,5389149.7,DOMESTIC,0,0
