trans_type,amount,oldbalanceOrg,oldbalanceDest,accountType,incoming_domestic_amount_30_src,incoming_domestic_amount_60_src,incoming_domestic_amount_90_src,outgoing_domestic_amount_30_src,outgoing_domestic_amount_60_src,outgoing_domestic_amount_90_src,incoming_foreign_amount_30_src,incoming_foreign_amount_60_src,incoming_foreign_amount_90_src,outgoing_foreign_amount_30_src,outgoing_foreign_amount_60_src,outgoing_foreign_amount_90_src,incoming_domestic_count_30_src,incoming_domestic_count_60_src,incoming_domestic_count_90_src,outgoing_domestic_count_30_src,outgoing_domestic_count_60_src,outgoing_domestic_count_90_src,incoming_foreign_count_30_src,incoming_foreign_count_60_src,incoming_foreign_count_90_src,outgoing_foreign_count_30_src,outgoing_foreign_count_60_src,outgoing_foreign_count_90_src,balance_difference_30_src,balance_difference_60_src,balance_difference_90_src,incoming_domestic_amount_30_dst,incoming_domestic_amount_60_dst,incoming_domestic_amount_90_dst,outgoing_domestic_amount_30_dst,outgoing_domestic_amount_60_dst,outgoing_domestic_amount_90_dst,incoming_foreign_amount_30_dst,incoming_foreign_amount_60_dst,incoming_foreign_amount_90_dst,outgoing_foreign_amount_30_dst,outgoing_foreign_amount_60_dst,outgoing_foreign_amount_90_dst,incoming_domestic_count_30_dst,incoming_domestic_count_60_dst,incoming_domestic_count_90_dst,outgoing_domestic_count_30_dst,outgoing_domestic_count_60_dst,outgoing_domestic_count_90_dst,incoming_foreign_count_30_dst,incoming_foreign_count_60_dst,incoming_foreign_count_90_dst,outgoing_foreign_count_30_dst,outgoing_foreign_count_60_dst,outgoing_foreign_count_90_dst,balance_difference_30_dst,balance_difference_60_dst,balance_difference_90,isFraud,isFlaggedFraud
0,259448.66,3083647.3,4677376.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3083647.3,-3083647.3,-3083647.3,501170.54,856998.48,856998.48,309616.87,309616.87,309616.87,385058.62,385058.62,385058.62,0.0,0.0,0.0,2,4,4,2,2,2,1,1,1,0,0,0,0.0,0.0,0.0,0,0
0,65151.73,3810637.99,1893694.29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3810637.99,-3810637.99,-3810637.99,867323.02,1307632.22,1307632.22,0.0,448349.89,448349.89,0.0,0.0,0.0,0.0,0.0,0.0,4,7,7,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0
0,217509.97,2267917.15,4595023.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2267917.15,-2267917.15,-2267917.15,0.0,235232.64,235232.64,82429.9,394352.24,394352.24,552658.96,552658.96,552658.96,0.0,0.0,0.0,0,1,1,1,3,3,1,1,1,0,0,0,0.0,0.0,0.0,0,0
0,223011.22,1764826.02,2955241.12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1764826.02,-1764826.02,-1764826.02,786729.07,1914444.21,1914444.21,316190.28,650450.14,650450.14,0.0,0.0,0.0,0.0,0.0,0.0,4,7,7,3,5,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0
0,95909.26,2644222.86,5135891.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2644222.86,-2644222.86,-2644222.86,1527965.65,1840237.65,1840237.65,49623.25,181334.91,181334.91,0.0,737460.99,737460.99,0.0,0.0,0.0,7,9,9,2,4,4,0,1,1,0,0,0,0.0,0.0,0.0,0,0
5,1253555.64,0.0,1348701.36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253555.64,1253555.64,0,0,0,0,0,0,0,0,0,0,1,1,0.0,-1253555.64,-1253555.64,464245.21,911551.78,911551.78,90945.45,90945.45,90945.45,93832.27,1347387.91,1347387.91,0.0,0.0,0.0,5,7,7,2,2,2,1,2,2,0,0,0,0.0,0.0,0.0,0,0
0,210358.41,2747759.8,5966778.14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2747759.8,-2747759.8,-2747759.8,1207251.4200000002,1622556.7800000003,1622556.7800000003,239044.35,239044.35,239044.35,1307720.47,1307720.47,1307720.47,995883.02,995883.02,995883.02,7,9,9,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0,0
0,341608.47,4012498.16,15811622.49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4012498.16,-4012498.16,-4012498.16,528135.69,1451733.87,1451733.87,938678.22,1225627.19,1225627.19,1173302.51,1173302.51,1173302.51,1612587.14,2556377.76,2556377.76,2,6,6,3,4,4,2,2,2,2,3,3,0.0,0.0,0.0,0,0
0,71250.54,3228950.76,1330295.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3228950.76,-3228950.76,-3228950.76,455706.74,455706.74,455706.74,98125.17,417470.65,417470.65,0.0,49633.05,49633.05,0.0,0.0,0.0,3,3,3,1,2,2,0,1,1,0,0,0,0.0,0.0,0.0,0,0
5,2296234.53,20853.0,2660397.22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296234.53,2296234.53,2296234.53,0,0,0,0,0,0,0,0,0,1,1,1,-2296234.53,-2296234.53,-2296234.53,239500.14,239500.14,239500.14,182338.77,182338.77,182338.77,2296234.53,2296234.53,2296234.53,689036.02,689036.02,689036.02,2,2,2,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0,0
